# Time-correlated data for fix SS
# Timestep Number-of-time-windows
# Index TimeDelta Ncount v_pxy*v_pxy v_pxz*v_pxz v_pyz*v_pyz
0 100
69 680 33 -706619 -610526 7668.55
70 690 32 780795 -1.09406e+06 -46654.7
71 700 31 1.47567e+06 -698854 98955
72 710 30 513831 -208375 -119913
73 720 29 1.38586e+06 -169507 -252243
74 730 28 2.431e+06 -368123 216196
75 740 27 -1.12068e+06 -594618 202040
76 750 26 1.34124e+06 -215081 5595.93
77 760 25 -1.14051e+06 -433314 157021
78 770 24 -1.98148e+06 -208572 107853
79 780 23 -743126 644041 -131710
80 790 22 -1.99044e+06 426457 -151653
81 800 21 818612 -665852 32614.3
82 810 20 973493 -139790 13391.4
83 820 19 -1.47999e+06 -664049 -53721.4
84 830 18 -1.3246e+06 -1.26056e+06 103748
85 840 17 -1.8563e+06 -761365 209249
86 850 16 -329377 -492924 -196237
87 860 15 20920.7 -1.09397e+06 -468934
88 870 14 -1.43613e+06 9101.48 -296748
89 880 13 -905670 -648219 -202290
90 890 12 1.58728e+06 231029 -543472
91 900 11 -2.25077e+06 978706 -200417
92 910 10 2.35092e+06 -409929 44093.9
93 920 9 58974.1 555893 -380440
94 930 8 2.32813e+06 -1.29305e+06 -615910
95 940 7 -2.88395e+06 -1.44587e+06 -585312
96 950 6 -1.08012e+07 -549669 -393104
97 960 5 -2.97376e+06 1.96084e+06 -679444
98 970 4 2.62149e+06 2.67209e+06 -463154
99 980 3 9.06228e+06 3.73875e+06 -220331
100 990 2 1.14873e+07 5.17409e+06 -104689
2000 100
1 0 201 1.38577e+07 2.28092e+06 732668
2 10 200 328092 296282 124356
3 20 199 102710 -11661.8 -137784
4 30 198 -49856.2 296632 59766.2
5 40 197 -5854.24 -65975.6 -175925
6 50 196 50114.1 -139686 -129376
7 60 195 251297 371046 260604
8 70 194 489908 308066 267070
9 80 193 -9504.93 -15500.7 -4202.08
10 90 192 -85402.6 -17042.6 -40753.4
11 100 191 241724 -19357.6 -97853.3
12 110 190 201418 -227232 -198313
13 120 189 125882 -108398 -48067.6
14 130 188 270067 291464 148109
15 140 187 295918 190683 111568
16 150 186 388790 -112964 35755.5
17 160 185 82610.3 -70106.3 -21770.6
18 170 184 -195365 -277522 -128721
19 180 183 46709 -446420 -105069
20 190 182 66484.4 -125359 -11920.5
21 200 181 -133769 14117.4 50761.3
22 210 180 270671 -164670 148873
23 220 179 557849 -114291 33493
24 230 178 -29791.9 -43624.7 -117641
25 240 177 -197889 -216854 -76143.5
26 250 176 96661 -182347 -82361.5
27 260 175 -270676 126221 14091.2
28 270 174 -82624.3 197904 113001
29 280 173 479936 -80013 87245
30 290 172 6668.1 82795.9 -31570.4
31 300 171 225883 133001 -143803
32 310 170 -118228 -115470 -86836.3
33 320 169 -518966 -24939 -51595.6
34 330 168 -284064 205630 -17728.1
35 340 167 -20339.5 19420.2 110155
36 350 166 15702.4 -154876 69435
37 360 165 189347 152708 -128422
38 370 164 613864 69799.4 -110404
39 380 163 405549 -168358 -87890
40 390 162 65548.8 220974 -128491
41 400 161 155646 263396 58191.6
42 410 160 -207210 -116343 75972.6
43 420 159 -149288 8370.92 53722.3
44 430 158 95538.3 156263 -44728.1
45 440 157 196238 -23246.2 -98874.3
46 450 156 -63071.5 28874.8 -10832.3
47 460 155 -29421.1 322310 -24824.2
48 470 154 224722 53284.2 52400.5
49 480 153 -139155 -203590 145107
50 490 152 -298340 157964 39299.9
51 500 151 -199925 69134.8 -39079.5
52 510 150 220363 -17985.7 28.1324
53 520 149 26987.3 437627 -38160.8
54 530 148 61792.6 354226 -5926.72
55 540 147 141921 35228.2 75872.8
56 550 146 -49556.1 108916 83388
57 560 145 151478 59418.8 19852.6
58 570 144 95407.6 15780.2 -10157.7
59 580 143 232730 76119.4 -10727.1
60 590 142 105100 193262 -14123.2
61 600 141 274156 17114.5 -12808.1
62 610 140 -174404 26035.3 37099.4
63 620 139 2845.49 -34404.1 47100.1
64 630 138 -160665 -112207 7585.32
65 640 137 -32475.9 127121 -38197
66 650 136 358340 208558 -79467
67 660 135 335428 26218.6 -38319
68 670 134 -159281 39604.8 -9633.82
69 680 133 -156549 -6223.44 48484.8
70 690 132 168579 -297500 31669.1
71 700 131 318437 -173327 -20846.6
72 710 130 127917 -23640.3 12800.8
73 720 129 347780 -179877 -51186.6
74 730 128 595839 -115104 -26720.8
75 740 127 -205291 27460.9 38610.4
76 750 126 352085 -28465.7 26000.8
77 760 125 -186113 -85837.8 42843.5
78 770 124 -408531 97149.3 66101.2
79 780 123 -133484 100856 -34451.4
80 790 122 -389538 -39.8074 -106652
81 800 121 128426 -14488 -18101.1
82 810 120 227350 77607.1 -77942.4
83 820 119 -142669 -122578 -13084
84 830 118 -175447 -122718 52328
85 840 117 -260686 20365.5 16385.1
86 850 116 -36635.5 -106436 6911.75
87 860 115 -57589.1 -173171 -130645
88 870 114 -200774 169855 -116197
89 880 113 -44991.5 81695 -24304.3
90 890 112 204431 79629.1 -14345.9
91 900 111 -225147 217273 16172.9
92 910 110 263899 144855 32842.4
93 920 109 -9124.5 -1087.77 -40278.2
94 930 108 100735 -165224 -141186
95 940 107 -168611 85766.9 -96725.1
96 950 106 -695145 7132.66 -12813.9
97 960 105 -219465 76799.6 -30973.7
98 970 104 162503 302897 63355.3
99 980 103 328626 159846 74029.4
100 990 102 253515 -37654 -45814
3000 100
1 0 301 9.42599e+06 1.68123e+06 719135
2 10 300 278693 226548 111888
3 20 299 46152.3 -19015.4 -120370
4 30 298 -59898 261860 92657.5
5 40 297 -67531.9 -29577.4 -172094
6 50 296 -15049.4 -107312 -163755
7 60 295 207386 300077 169694
8 70 294 403005 255954 220209
9 80 293 32659.3 -33828.3 17790
10 90 292 -43070.2 -17157.6 -32921.7
11 100 291 123826 3041.41 -31008
12 110 290 55962.3 -177777 -123059
13 120 289 48310.8 -66227.3 -57138.4
14 130 288 190441 239752 123597
15 140 287 222878 114196 122316
16 150 286 305779 -84629 27387.6
17 160 285 69062.1 -50522.3 -21666.4
18 170 284 -166350 -222521 -68664.9
19 180 283 -14284.5 -290894 -69919.3
20 190 282 23914.4 -48675.9 -19351.1
21 200 281 -89110.8 -16596.1 60516.5
22 210 280 201081 -122355 163631
23 220 279 381648 -62653.2 55238.7
24 230 278 -50582 -69600.9 -71697.6
25 240 277 -173722 -183645 -64388.6
26 250 276 43903.4 -107462 -42588.5
27 260 275 -187116 80231.3 -9810.89
28 270 274 -44277.1 82325 33570.5
29 280 273 366900 -65500 106106
30 290 272 43183.5 43839.9 -17197.2
31 300 271 135394 44055.4 -136118
32 310 270 -81179.8 -78593.2 -12360.2
33 320 269 -335860 8230.73 -5646.34
34 330 268 -207520 135026 -14488.4
35 340 267 20794.4 8475.36 129715
36 350 266 91872.2 -98283.2 88123.4
37 360 265 144773 110958 -101788
38 370 264 376494 57999.2 -121663
39 380 263 237140 -94315.6 -75076.7
40 390 262 -12826.9 154131 -81440.1
41 400 261 77098.7 189509 23887.9
42 410 260 -74222.9 -65670.7 78946.2
43 420 259 -23706.4 -2099.87 104727
44 430 258 93162.4 117164 -28093.4
45 440 257 122928 12509.9 -89795.7
46 450 256 -81151.4 17191.6 -16578.5
47 460 255 -99864.7 191720 -27154
48 470 254 125342 47012.9 14718
49 480 253 -63222.2 -134589 115592
50 490 252 -153882 78745.3 58797.6
51 500 251 -63655.5 43526.8 -73919.8
52 510 250 122953 -153.259 -5515.88
53 520 249 -88519.8 253711 -11682.7
54 530 248 -23021.6 160021 -39943.3
55 540 247 87726.8 8085.26 95604
56 550 246 -24414 72309.7 86219.9
57 560 245 158655 -3115.52 -22386.4
58 570 244 139661 -6288.06 1110.94
59 580 243 106035 71807.6 -78308.3
60 590 242 1989.11 88343.2 -67128.8
61 600 241 150476 -41329.4 26608.6
62 610 240 -151526 45244.4 46611.6
63 620 239 5123.12 -1490.43 38445.3
64 630 238 11912.5 -74614.1 8025.48
65 640 237 9540.72 112432 -42448.8
66 650 236 171547 150286 -81022
67 660 235 189995 4751.61 -82060.2
68 670 234 -157987 37646.5 24298.4
69 680 233 -152195 37070.6 73025.2
70 690 232 159608 -142280 -29280.7
71 700 231 267544 -58722.9 -1276.23
72 710 230 111581 17018.5 -21087.6
73 720 229 248346 -87176.8 -121078
74 730 228 328680 -30847.5 -13617.2
75 740 227 -211458 34805.9 85994.8
76 750 226 169139 -22329.3 18791.5
77 760 225 -63457.3 -23318.4 32657.1
78 770 224 -214377 62837.3 59106.3
79 780 223 -47707.7 23265.9 -89854.2
80 790 222 -172188 602.145 -155629
81 800 221 24486.2 7513.55 -1409.65
82 810 220 49044.4 18172.4 -5569.82
83 820 219 -111889 -78311.5 -9490.54
84 830 218 -132403 -39827.1 70222.1
85 840 217 -145587 -6098.86 15740
86 850 216 29892.6 -74862.1 -86353
87 860 215 -32675.7 -81863.6 -123081
88 870 214 -160853 61118.1 -81609.9
89 880 213 -59100.3 23740.2 -29054.2
90 890 212 70602 24874.2 1901.16
91 900 211 -155357 64007.4 -677.815
92 910 210 144180 68660.3 -6281.24
93 920 209 7731.01 -601.803 -77107.4
94 930 208 8553.92 -143359 -103080
95 940 207 -121151 17059.9 -18272.7
96 950 206 -380718 -719.357 42300
97 960 205 -136466 -33418.2 17190
98 970 204 113305 139655 19768.1
99 980 203 228963 121411 4777.98
100 990 202 118311 -44428.5 -41424.3
4000 100
1 0 401 7.25323e+06 1.3532e+06 665629
2 10 400 230548 174936 111685
3 20 399 -4489.47 -16771 -86272.7
4 30 398 -36806.9 222406 78394.1
5 40 397 -103981 -43944.3 -166524
6 50 396 -50016.5 -88166.4 -120131
7 60 395 208712 236722 141532
8 70 394 372710 209843 190528
9 80 393 38526.9 -23323.3 40344.7
10 90 392 -22018.6 -7449.09 -25470.9
11 100 391 61134.3 20083.2 -49354.7
12 110 390 -32764.9 -135196 -140201
13 120 389 49573.8 -38952 -55331.3
14 130 388 190047 199714 88229.7
15 140 387 183770 104569 112798
16 150 386 276215 -52904.6 52775.4
17 160 385 64612.5 -33559.7 -28884.1
18 170 384 -189767 -141829 -44754.9
19 180 383 -35556.3 -222610 -75409.9
20 190 382 27174.7 -18495.9 -39872.3
21 200 381 -77782.3 14936.5 48588.1
22 210 380 204718 -93317.9 133766
23 220 379 348613 -22809.4 83022.7
24 230 378 -60700.1 -45295.7 -54317.7
25 240 377 -164624 -129636 -63190
26 250 376 28385.5 -68598.3 -51725.6
27 260 375 -174345 59712.4 -47458.7
28 270 374 -55024.1 79459.8 30452.5
29 280 373 333257 -43836.2 94314.1
30 290 372 61650.1 28518.6 27194.8
